,srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,label,total_bytes,total_packets,total_bits,bpp,bps,pps,var_iat,avg_iat,pct_packets_pushed,avg_payload_length,iopr
22,147.32.84.180,1272,31.192.109.167,80,6,10,606,5,412,40,60,135,39,40,82,244,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,606,5,412,2,1,0,0,416,208,0,1,1018,15,8144,67.86666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,26.266666666666666,0.5
23,147.32.84.180,1274,94.63.150.20,80,6,10,1350,5,455,40,135,507,196,40,91,287,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1350,5,455,2,1,0,0,416,208,0,1,1805,15,14440,120.33333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,78.73333333333333,0.5
24,147.32.84.180,1270,195.88.191.59,80,6,106,4672,61,96491,40,44,224,25,40,1581,2784,622,0,0,2,0,1,0,2,0,13,13,13,13,0,0,0,0,0,106,4672,61,96491,2,11,0,0,4304,2448,0,1,101163,167,809304,605.7664670658683,10375692307.692308,2141025.641025641,0.0,0.0,0.6347305389221557,565.3353293413173,0.5754716981132075
25,147.32.84.180,1276,31.192.109.167,80,6,10,862,5,402,40,86,263,93,40,80,234,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,862,5,402,2,1,0,0,416,208,0,1,1264,15,10112,84.26666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,42.666666666666664,0.5
26,147.32.84.180,1282,94.63.150.20,80,6,10,1358,5,455,40,135,511,197,40,91,287,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1358,5,455,2,1,0,0,416,208,0,1,1813,15,14504,120.86666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,79.26666666666667,0.5
27,147.32.84.180,1285,94.63.150.20,80,6,10,1340,5,455,40,134,502,193,40,91,287,109,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,10,1340,5,455,2,1,0,0,416,208,0,1,1795,15,14360,119.66666666666667,2393333333.3333335,2500000.0,0.0,0.0,0.6666666666666666,78.06666666666666,0.5
28,147.32.84.180,1283,195.88.191.59,80,6,136,5836,78,97679,40,42,230,22,40,1252,3112,514,0,0,1,0,1,0,1,0,16,16,16,16,0,0,0,0,0,136,5836,78,97679,2,12,0,0,5456,3124,0,1,103515,214,828120,483.71495327102804,8626250000.0,2229166.6666666665,0.0,0.0,0.6355140186915887,443.6214953271028,0.5735294117647058
29,147.32.84.180,1286,94.63.150.20,80,6,10,1358,5,455,40,135,511,197,40,91,287,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1358,5,455,2,1,0,0,416,208,0,1,1813,15,14504,120.86666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,79.26666666666667,0.5
30,147.32.84.180,1280,222.88.205.195,443,6,12,816,2,88,40,68,164,45,40,44,48,5,0,1,12,3,12,12,12,0,21,21,21,21,0,0,0,0,0,12,816,2,88,4,0,0,0,528,88,0,1,904,14,7232,64.57142857142857,57396825.396825396,111111.11111111111,4.5,6.5,0.8571428571428571,20.571428571428573,0.16666666666666666
31,147.32.84.180,1288,200.171.4.222,6667,6,10,1004,5,470,40,100,334,123,40,94,302,116,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,10,1004,5,470,2,1,0,0,416,208,0,1,1474,15,11792,98.26666666666667,1965333333.3333333,2500000.0,0.0,0.0,0.6666666666666666,56.666666666666664,0.5
32,147.32.84.180,1310,222.88.205.195,443,6,9,432,3,128,40,48,60,7,40,42,48,4,0,0,3,1,0,0,0,0,3,3,3,3,0,0,0,0,0,9,432,3,128,2,0,0,0,392,128,0,1,560,12,4480,46.666666666666664,248888888.8888889,666666.6666666666,0.5,0.0,0.75,3.3333333333333335,0.3333333333333333
33,147.32.84.180,1320,50.22.198.84,80,6,10,2152,3,983,40,215,908,365,40,327,895,491,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,10,2152,3,983,2,0,0,0,416,128,0,1,3135,13,25080,241.15384615384616,4180000000.0,2166666.6666666665,0.0,0.0,0.7692307692307693,199.30769230769232,0.3
34,147.32.84.180,1321,67.214.158.5,80,6,10,1540,5,767,40,154,602,236,40,153,599,249,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,10,1540,5,767,2,1,0,0,416,208,0,1,2307,15,18456,153.8,3076000000.0,2500000.0,0.0,0.0,0.6666666666666666,112.2,0.5
35,147.32.84.180,1323,50.22.198.84,80,6,10,2256,3,472,40,225,960,387,40,157,384,196,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,2256,3,472,2,0,0,0,416,128,0,1,2728,13,21824,209.84615384615384,3637333333.333333,2166666.6666666665,0.0,0.0,0.7692307692307693,168.0,0.3
36,147.32.84.180,1324,67.214.158.5,80,6,10,1584,5,808,40,158,624,245,40,161,640,267,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,1584,5,808,2,1,0,0,416,208,0,1,2392,15,19136,159.46666666666667,3189333333.333333,2500000.0,0.0,0.0,0.6666666666666666,117.86666666666666,0.5
37,147.32.84.180,1327,217.163.21.38,80,6,10,1010,5,868,40,101,337,124,40,173,700,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1010,5,868,2,1,0,0,416,208,0,1,1878,15,15024,125.2,0.0,0.0,0.0,0.0,0.6666666666666666,83.6,0.5
38,147.32.84.180,1328,94.245.121.179,80,6,10,1036,3,1037,40,103,350,129,40,345,949,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1036,3,1037,2,1,0,0,416,128,0,1,2073,13,16584,159.46153846153845,0.0,0.0,0.0,0.0,0.7692307692307693,117.61538461538461,0.3
39,147.32.84.180,1325,68.67.185.212,80,6,11,1032,4,874,40,93,328,115,40,218,746,351,0,1,10,3,10,3,10,5,10,10,10,10,0,0,0,0,0,11,1032,4,874,2,1,0,0,456,168,0,1,1906,15,15248,127.06666666666666,254133333.3333333,250000.0,17.0,2.0,0.7333333333333333,85.46666666666667,0.36363636363636365
40,147.32.84.180,1326,68.67.185.212,80,6,11,1032,4,901,40,93,328,115,40,225,773,365,0,1,10,3,10,3,10,5,10,10,10,10,0,0,0,0,0,11,1032,4,901,2,1,0,0,456,168,0,1,1933,15,15464,128.86666666666667,257733333.3333333,250000.0,17.0,2.0,0.7333333333333333,87.26666666666667,0.36363636363636365
41,147.32.84.180,1313,208.73.210.29,80,6,39,3248,26,31367,40,83,592,135,40,1206,1492,514,18,0,18,2,0,0,1,0,19,19,19,19,0,0,0,0,0,39,3248,26,31367,4,3,0,0,1576,1044,0,1,34615,65,276920,532.5384615384615,2429122807.017544,570175.4385964912,2.0,0.0,0.6,492.2307692307692,0.6666666666666666
42,147.32.84.180,1314,74.125.232.220,80,6,9,1364,4,2072,40,151,534,216,40,518,1470,672,18,2,18,6,0,0,0,0,18,18,18,18,0,0,0,0,0,9,1364,4,2072,2,1,0,0,376,168,0,1,3436,13,27488,264.3076923076923,254518518.51851854,120370.37037037038,18.0,1.0,0.6923076923076923,222.46153846153845,0.4444444444444444
43,147.32.84.180,1315,74.125.232.217,80,6,9,1850,3,826,40,205,777,323,40,275,738,400,18,2,18,6,0,0,0,0,18,18,18,18,0,0,0,0,0,9,1850,3,826,2,1,0,0,376,128,0,1,2676,12,21408,223.0,198222222.22222224,111111.11111111111,18.0,1.0,0.75,181.0,0.3333333333333333
44,147.32.84.180,1316,94.127.76.180,80,6,17,4504,6,4494,40,264,519,244,40,749,1995,734,18,1,18,4,0,0,0,0,18,18,18,18,0,0,0,0,0,17,4504,6,4494,8,4,0,0,696,244,0,1,8998,23,71984,391.2173913043478,666518518.5185186,212962.96296296298,8.0,0.5,0.7391304347826086,350.3478260869565,0.35294117647058826
45,147.32.84.180,1317,94.127.76.180,80,6,17,4482,6,4132,40,263,519,242,40,688,2269,820,18,1,18,4,0,0,0,0,18,18,18,18,0,0,0,0,0,17,4482,6,4132,8,4,0,0,696,244,0,1,8614,23,68912,374.5217391304348,638074074.0740741,212962.96296296298,8.0,0.5,0.7391304347826086,333.6521739130435,0.35294117647058826
46,147.32.84.180,1318,208.73.210.29,80,6,9,2742,3,918,40,304,1223,520,40,306,834,457,18,2,18,6,0,0,0,0,18,18,18,18,0,0,0,0,0,9,2742,3,918,2,1,0,0,376,124,0,1,3660,12,29280,305.0,271111111.1111111,111111.11111111111,18.0,1.0,0.75,263.3333333333333,0.3333333333333333
47,147.32.84.180,1319,195.113.232.91,80,6,9,1276,3,1667,40,141,490,197,40,555,1579,886,18,2,18,6,0,0,0,0,18,18,18,18,0,0,0,0,0,9,1276,3,1667,2,1,0,0,376,128,0,1,2943,12,23544,245.25,218000000.0,111111.11111111111,18.0,1.0,0.75,203.25,0.3333333333333333
48,147.32.84.180,1322,195.113.232.83,80,6,9,1332,3,540,40,148,518,209,40,180,452,235,17,2,17,5,1,0,1,0,18,18,18,18,0,0,0,0,0,9,1332,3,540,2,1,0,0,376,128,0,1,1872,12,14976,156.0,138666666.6666667,111111.11111111111,12.5,1.0,0.75,114.0,0.3333333333333333
49,147.32.84.180,1302,173.192.170.88,80,6,20,1302,8,2858,40,65,267,69,40,357,1356,513,0,2,32,7,5,5,32,11,49,49,49,49,0,0,0,0,0,20,1302,8,2858,2,4,0,0,848,328,0,1,4160,28,33280,148.57142857142858,113197278.91156463,95238.09523809524,85.0,3.5,0.7142857142857143,106.57142857142857,0.4
50,147.32.84.180,1338,31.192.109.167,80,6,10,874,5,402,40,87,269,95,40,80,234,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,874,5,402,2,1,0,0,416,208,0,1,1276,15,10208,85.06666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,43.46666666666667,0.5
51,147.32.84.180,1289,212.117.171.138,65500,6,30,2702,16,741,40,90,462,114,40,46,62,8,0,3,85,15,0,5,85,21,87,87,87,87,0,0,0,0,0,30,2702,16,741,14,7,0,0,1216,648,0,1,3443,46,27544,74.84782608695652,52766283.524904214,88122.60536398468,333.0,4.0,0.6521739130434783,34.32608695652174,0.5333333333333333
52,147.32.84.180,1337,64.12.175.136,587,6,15,754,8,1059,40,50,62,8,40,132,462,150,0,0,1,0,0,0,1,0,2,2,2,2,0,0,0,0,0,15,754,8,1059,8,5,0,0,616,328,0,1,1813,23,14504,78.82608695652173,1208666666.6666667,1916666.6666666665,0.0,0.0,0.6521739130434783,37.78260869565217,0.5333333333333333
53,147.32.84.180,1344,61.17.216.4,6667,6,10,974,5,470,40,97,319,116,40,94,302,116,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,10,974,5,470,2,1,0,0,416,208,0,1,1444,15,11552,96.26666666666667,1925333333.3333333,2500000.0,0.0,0.0,0.6666666666666666,54.666666666666664,0.5
54,147.32.84.180,1348,98.126.71.122,80,6,13,1134,4,3371,40,87,339,111,40,842,2960,1417,0,1,15,4,1,5,15,8,16,16,16,16,0,0,0,0,0,13,1134,4,3371,2,1,0,0,536,168,0,1,4505,17,36040,265.0,375416666.6666667,177083.33333333334,40.0,3.0,0.7647058823529411,223.58823529411765,0.3076923076923077
55,147.32.84.180,1048,174.133.57.141,80,6,9,1092,4,727,40,121,398,156,40,181,599,278,268,37,268,93,29,99,268,147,298,298,298,298,0,0,0,0,0,9,1092,4,727,2,1,0,0,376,168,0,1,1819,13,14552,139.92307692307693,8138702.460850111,7270.69351230425,15129.0,68.0,0.6923076923076923,98.07692307692308,0.4444444444444444
56,147.32.84.180,1349,195.113.232.83,80,6,13,1076,3,5822,40,82,310,100,40,1940,5734,3285,19,1,19,5,0,0,0,0,19,19,19,19,0,0,0,0,0,13,1076,3,5822,2,1,0,0,536,128,0,1,6898,16,55184,431.125,484070175.4385965,140350.87719298244,12.5,0.5,0.8125,389.625,0.23076923076923078
57,147.32.84.180,1350,195.113.232.88,80,6,11,2312,5,3037,40,210,539,234,40,607,1544,775,19,1,19,6,0,0,0,0,19,19,19,19,0,0,0,0,0,11,2312,5,3037,4,2,0,0,456,208,0,1,5349,16,42792,334.3125,375368421.05263156,140350.87719298244,18.0,0.5,0.6875,292.8125,0.45454545454545453
58,147.32.84.180,1351,195.113.232.83,80,6,27,1916,9,20752,40,70,450,109,40,2305,5880,2199,19,0,19,3,0,0,0,0,19,19,19,19,0,0,0,0,0,27,1916,9,20752,2,1,0,0,1096,376,0,1,22668,36,181344,629.6666666666666,1590736842.105263,315789.4736842105,4.5,0.0,0.75,588.7777777777778,0.3333333333333333
59,147.32.84.180,1333,173.192.170.88,80,6,12,868,5,469,40,72,226,71,40,93,301,115,0,6,46,14,1,18,46,20,73,73,73,73,0,0,0,0,0,12,868,5,469,2,1,0,0,496,208,0,1,1337,17,10696,78.6470588235294,24420091.324200913,38812.78538812785,298.0,12.0,0.7058823529411765,37.23529411764706,0.4166666666666667
60,147.32.84.180,1356,173.192.170.88,80,6,7,670,3,389,40,95,227,89,40,129,301,148,13,2,13,5,13,6,13,9,13,13,13,13,0,0,0,0,0,7,670,3,389,2,1,0,0,296,128,0,1,1059,10,8472,105.9,108615384.61538462,128205.1282051282,53.0,4.0,0.7,63.5,0.42857142857142855
61,147.32.84.180,1336,212.117.171.138,65500,6,15,640,6,281,40,42,50,4,40,46,68,10,0,7,87,23,21,21,87,37,108,108,108,108,0,0,0,0,0,15,640,6,281,4,3,0,0,616,248,0,1,921,21,7368,43.857142857142854,11370370.37037037,32407.407407407405,949.0,14.0,0.7142857142857143,2.7142857142857144,0.4
62,147.32.84.180,1373,31.192.109.167,80,6,10,874,5,402,40,87,269,95,40,80,234,85,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,10,874,5,402,2,1,0,0,416,208,0,1,1276,15,10208,85.06666666666666,1701333333.3333333,2500000.0,0.0,0.0,0.6666666666666666,43.46666666666667,0.5
63,147.32.84.180,1374,222.88.205.195,443,6,12,760,3,128,40,63,144,38,40,42,48,4,0,0,3,0,0,0,1,0,4,4,4,4,0,0,0,0,0,12,760,3,128,4,0,0,0,512,128,0,1,888,15,7104,59.2,296000000.0,625000.0,0.0,0.0,0.8,16.533333333333335,0.25
64,147.32.84.180,1382,60.190.223.75,888,6,9,1006,3,1882,40,111,355,137,48,627,1576,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1006,3,1882,2,2,0,0,376,128,0,1,2888,12,23104,240.66666666666666,0.0,0.0,0.0,0.0,0.75,198.66666666666666,0.3333333333333333
65,147.32.84.180,1383,122.224.6.164,82,6,118,5106,57,131075,40,43,225,23,40,2299,7340,1263,0,0,2,0,4,0,4,0,7,7,7,7,0,0,0,0,0,118,5106,57,131075,2,1,0,0,4736,2292,0,1,136181,175,1089448,778.1771428571428,25939238095.238094,4166666.666666666,0.0,0.0,0.6742857142857143,738.0171428571429,0.4830508474576271
66,147.32.84.180,1387,60.190.223.75,888,6,12,1458,5,401,40,121,521,186,40,80,231,84,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,12,1458,5,401,2,2,0,0,496,208,0,1,1859,17,14872,109.3529411764706,2478666666.6666665,2833333.3333333335,0.0,0.0,0.7058823529411765,67.94117647058823,0.4166666666666667
67,147.32.84.180,1388,60.190.223.75,888,6,12,1466,5,401,40,122,525,188,40,80,231,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1466,5,401,2,2,0,0,496,208,0,1,1867,17,14936,109.82352941176471,0.0,0.0,0.0,0.0,0.7058823529411765,68.41176470588235,0.4166666666666667
68,147.32.84.180,1379,205.188.186.137,587,6,36,16926,19,1708,40,470,1500,576,40,89,462,104,0,0,24,4,0,1,25,5,27,27,27,27,0,0,0,0,0,36,16926,19,1708,30,10,0,0,1456,768,0,1,18634,55,149072,338.8,920197530.8641975,339506.1728395062,20.5,0.5,0.6545454545454545,298.3636363636364,0.5277777777777778
69,147.32.84.180,1365,212.117.171.138,65500,6,134,7014,80,131341,40,52,462,57,40,1641,4420,1305,0,0,52,4,0,1,52,6,79,79,79,79,0,0,0,0,0,134,7014,80,131341,22,18,0,0,5376,3208,0,1,138355,214,1106840,646.518691588785,2335105485.2320676,451476.79324894515,26.0,0.5,0.6261682242990654,606.4065420560747,0.5970149253731343
70,147.32.84.180,1389,61.147.99.179,81,6,41,2026,21,35366,40,49,225,40,48,1684,2960,835,1,0,1,0,0,0,1,0,4,4,4,4,0,0,0,0,0,41,2026,21,35366,2,10,0,0,1656,848,0,1,37392,62,299136,603.0967741935484,12464000000.0,2583333.3333333335,0.0,0.0,0.6612903225806451,562.7096774193549,0.5121951219512195
71,147.32.84.180,1391,60.190.223.75,888,6,12,1458,5,401,40,121,521,186,40,80,231,84,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,12,1458,5,401,2,2,0,0,496,208,0,1,1859,17,14872,109.3529411764706,2478666666.6666665,2833333.3333333335,0.0,0.0,0.7058823529411765,67.94117647058823,0.4166666666666667
72,147.32.84.180,1386,222.88.205.195,443,6,11,616,3,128,40,56,144,30,40,42,48,4,0,0,5,1,0,0,0,0,8,8,8,8,0,0,0,0,0,11,616,3,128,3,0,0,0,472,128,0,1,744,14,5952,53.142857142857146,124000000.0,291666.6666666667,0.5,0.0,0.7857142857142857,10.285714285714286,0.2727272727272727
73,147.32.84.180,1392,60.190.223.75,888,6,12,1466,5,401,40,122,525,188,40,80,231,84,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,12,1466,5,401,2,2,0,0,496,208,0,1,1867,17,14936,109.82352941176471,2489333333.3333335,2833333.3333333335,0.0,0.0,0.7058823529411765,68.41176470588235,0.4166666666666667
74,147.32.84.180,1403,222.88.205.195,443,6,12,760,3,128,40,63,144,38,40,42,48,4,0,0,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,12,760,3,128,4,0,0,0,512,128,0,1,888,15,7104,59.2,394666666.6666666,833333.3333333333,0.0,0.0,0.8,16.533333333333335,0.25
75,147.32.84.180,1432,31.192.109.167,80,6,10,874,5,402,40,87,269,95,40,80,234,85,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,10,874,5,402,2,1,0,0,416,208,0,1,1276,15,10208,85.06666666666666,1701333333.3333333,2500000.0,0.0,0.0,0.6666666666666666,43.46666666666667,0.5
76,147.32.84.180,1453,222.88.205.195,443,6,10,664,3,128,40,66,144,41,40,42,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,664,3,128,4,0,0,0,416,128,0,1,792,13,6336,60.92307692307692,0.0,0.0,0.0,0.0,0.7692307692307693,19.076923076923077,0.3
77,147.32.84.180,1460,173.192.170.88,80,6,13,1444,5,3647,40,111,267,108,40,729,2936,1240,0,0,3,0,0,1,4,1,5,5,5,5,0,0,0,0,0,13,1444,5,3647,4,3,0,0,536,208,0,1,5091,18,40728,282.8333333333333,1357600000.0,600000.0,0.5,0.5,0.7222222222222222,241.5,0.38461538461538464
